,Evaluaciones en las tardes o sábados,,,,,,,,,,,,,,,,,,,
,Evaluaciones en horario de Clase/Ayudantía,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TIPO HORARIO,DESCRIPCION,,,,,,,,,,,,,,,,,,,
CLAS,CLASES,,,,,,,,,,,,,,,,,,,
AYUD,AYUDANTIA,,,,,,,,,,,,,,,,,,,
LABT,LABORATORIO,,,,,,,,,,,,,,,,,,,
EXAM,EXAMEN,,,,,,,,,,,,,,,,,,,
PRBA ,"PRUEBA (1, 2, 3...)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PERIODO,PLAN DE ESTUDIOS,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,INICIO,FIN,SALA,TIPO,PROFESOR
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,15:30 -17:20,,,,,,28/11/2022,28/11/2022,I201,EXAM,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,,19:30 -21:20,,,20/10/2022,20/10/2022,C-104,PRBA 3,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,27/09/2022,27/09/2022,B-22,PRBA 2,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,08/11/2022,08/11/2022,B-22,PRBA 4,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,08/08/2022,16/11/2022,B-22,AYUD,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,08:30 -10:20,,,,01/08/2022,16/11/2022,I201,CLAS,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,610,,,ING,1201,3,ALGEBRA LINEAL,6,08:30 -10:20,,,,,,01/08/2022,16/11/2022,I101,CLAS,ZEGARRA/AGRAMONT LUIS GUILLERMO
202220,2016,610,,,ING,1201,3,ALGEBRA LINEAL,6,19:30 -21:20,,,,,,29/08/2022,29/08/2022,C-214,PRBA 1,ZEGARRA/AGRAMONT LUIS GUILLERMO
202220,2016,610,,,ING,1201,3,ALGEBRA LINEAL,6,15:30 -17:20,,,,,,28/11/2022,28/11/2022,C-104,EXAM,ZEGARRA/AGRAMONT LUIS GUILLERMO
202220,2016,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,,19:30 -21:20,,,20/10/2022,20/10/2022,C-018,PRBA 3,ZEGARRA/AGRAMONT LUIS GUILLERMO
